issue_id,commit_id,p_x,l_x,issue_desc,issue_comments,summary,files,created_at,closed_at,commit_time
99,535fdf800713ce7b74f1e330e9c02af0bb981db2,0.082293264567852,0,depends on # 98,Fix/sqlparser error handling,Merge pull request # 95 from Project-C-SQL/feat/error-handling-and-syntax-error-detection,"['src/pg4n/main.py', 'src/pg4n/psqlconninfo.py', 'src/pg4n/psqlparser.py', 'src/pg4n/psqlwrapper.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/test/test_psqlparser.py', 'src/pg4n/test/test_psqlwrapper.py']",2022-12-15 18:25:33+00:00,2022-12-16 13:31:29+00:00,2022-12-12 14:47:03+02:00
99,ff25e18f8bfefbf98a4f27a1eccaf633c8313844,0.0483368709683418,0,depends on # 98,Fix/sqlparser error handling,Merge pull request # 93 from Project-C-SQL/fix/sqlparser-typeconv,"['src/pg4n/sqlparser.py', 'src/pg4n/test/test_sqlparser.py']",2022-12-15 18:25:33+00:00,2022-12-16 13:31:29+00:00,2022-12-02 19:51:33+02:00
99,994c90902cfebc3d5a4f4756e8b07aa1f1899d21,0.0424596667289733,0,depends on # 98,Fix/sqlparser error handling,Merge pull request # 36 from Project-C-SQL/fix/refactor-sqlparser,"['src/pg4n/sqlparser.py', 'src/pg4n/test/test_sqlparser.py']",2022-12-15 18:25:33+00:00,2022-12-16 13:31:29+00:00,2022-10-26 12:21:19+03:00
98,0499f91bd01fde04e830476f7024c376a5bbedfb,0.1319951862096786,0,depends on # 97,Fix/checker crashes,Merge pull request # 84 from Project-C-SQL/fix/missing-checkers,"['scripts/gen_config_values.bash', 'src/pg4n/cmp_domain_checker.py', 'src/pg4n/config_values.py', 'src/pg4n/eq_wildcard_checker.py', 'src/pg4n/implied_expression_checker.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/strange_having_checker.py', 'src/pg4n/subquery_order_by_checker.py', 'src/pg4n/subquery_orderby_checker.py', 'src/pg4n/subquery_select_checker.py', 'src/pg4n/sum_distinct_checker.py', 'src/pg4n/test/test_config_parser.py', 'src/pg4n/test/test_subquery_order_by_checker.py', 'src/pg4n/test/test_subquery_orderby_checker.py']",2022-12-15 18:24:37+00:00,2022-12-16 13:01:42+00:00,2022-11-25 13:51:14+02:00
95,e480bcd928e0741b94bdc068c3a1ba8736f43057,0.0407051630318164,0,"Closes # 87 , closes # 81 , closes # 79 . Refactors psql parser and wrapper for release , so this branch does have more than just error handling and syntax error detection .",Feat/error handling and syntax error detection,Merge pull request # 99 from Project-C-SQL/fix/sqlparser-error-handling,['src/pg4n/sqlparser.py'],2022-12-08 11:46:07+00:00,2022-12-12 12:47:03+00:00,2022-12-16 15:31:29+02:00
80,d573f35f684e3c0d6fc0f05d90c20bdc0db5e0ec,0.0547203198075294,0,"Closes # 49 and # 62 . Fixes psqlwrapper unit tests , and extends psqlwrapper and psqlparser unit tests . # 79 found during testing .",Fix/wrapper,Merge pull request # 28 from Project-C-SQL/feat/wrapper-pyparsing,"['main.py', 'psqlparser.py', 'psqlwrapper.py', 'wrapper.py']",2022-11-19 17:12:38+00:00,2022-11-21 14:23:45+00:00,2022-10-08 13:35:33+03:00
65,de27eb5c5d71e31de1e07099cbea189952749079,0.8693656921386719,0,See commit message,Fix/subquery select,Merge pull request # 58 from Project-C-SQL/feat/subquery-select,"['src/pg4n/subquery_select_checker.py', 'src/pg4n/test/test_subquery_select_checker.py']",2022-11-08 15:55:35+00:00,2022-11-15 13:03:27+00:00,2022-11-08 10:07:16+02:00
60,baf12acc335af14d9708a980b5cb2d5b0183ddbe,0.0164859239012002,0,,Bug fixes .,Merge pull request # 98 from Project-C-SQL/fix/checker-crashes,"['src/pg4n/inconsistent_expression_checker.py', 'src/pg4n/subquery_order_by_checker.py']",2022-11-08 08:51:54+00:00,2022-11-08 08:54:19+00:00,2022-12-16 15:01:42+02:00
60,3d6dec83450eb47b7c1c89380c7d32be851a2780,0.007066594902426,0,,Bug fixes .,Merge pull request # 97 from Project-C-SQL/fix/qepparser-crash,"['src/pg4n/implied_expression_checker.py', 'src/pg4n/qepparser.py', 'src/pg4n/subquery_order_by_checker.py']",2022-11-08 08:51:54+00:00,2022-11-08 08:54:19+00:00,2022-12-16 13:05:50+02:00
58,f22df7de0b763af1d901c810038f76104d7eeea2,0.093488223850727,0,"closes # 55 , closes # 56",Feat/subquery select,Merge pull request # 65 from Project-C-SQL/fix/subquery-select,"['src/pg4n/sqlparser.py', 'src/pg4n/subquery_select_checker.py', 'src/pg4n/test/test_subquery_select_checker.py']",2022-11-07 19:00:40+00:00,2022-11-08 08:07:16+00:00,2022-11-15 15:03:26+02:00
57,81031d3bf605c7a135e21c31f0468edd19818deb,0.8433201313018799,0,Closes # 9,Feat/subquery orderby,Merge pull request # 25 from Project-C-SQL/feat/sem-orderby,"['orderby.py', 'sqlparser.py']",2022-11-07 18:59:33+00:00,2022-11-08 08:05:36+00:00,2022-10-05 13:46:50+03:00
29,672575a8e3f414ce9ffa1f47b1e18b13d13fb9eb,0.0087061654776334,0,"Closes # 10 , closes # 22 Uses ` psycopg2 ` for interfacing with postgres . Uses ` pytest_postgresql ` for setting up a temporary , dockerized postgres DB for testing . Passes data retrieved from postgres ' ` EXPLAIN ANALYZE ` as-is , with some wrappers .",Add tentative QEP parsing,Merge pull request # 44 from Project-C-SQL/feat/improve-qeps,"['README.md', 'src/pg4n/qepparser.py', 'src/pg4n/test/test_qepparser.py']",2022-10-10 23:01:14+00:00,2022-10-11 14:32:30+00:00,2022-11-05 13:28:47+02:00
29,d573f35f684e3c0d6fc0f05d90c20bdc0db5e0ec,0.0208581406623125,0,"Closes # 10 , closes # 22 Uses ` psycopg2 ` for interfacing with postgres . Uses ` pytest_postgresql ` for setting up a temporary , dockerized postgres DB for testing . Passes data retrieved from postgres ' ` EXPLAIN ANALYZE ` as-is , with some wrappers .",Add tentative QEP parsing,Merge pull request # 28 from Project-C-SQL/feat/wrapper-pyparsing,"['main.py', 'psqlparser.py', 'psqlwrapper.py', 'wrapper.py']",2022-10-10 23:01:14+00:00,2022-10-11 14:32:30+00:00,2022-10-08 13:35:33+03:00
