issue_id,commit_id,p_x,l_x,issue_desc,issue_comments,summary,files,created_at,closed_at,commit_time
104,07d6dde0972879d8ca27dde7d9b60e1bdfb756ec,0.989697515964508,1,,Move dev dependencies to dev group,Merge pull request # 104 from Project-C-SQL/feat/dev-deps,"['.github/actions/install/action.yml', 'README.md', 'docs/maintenance-plan.md', 'pyproject.toml']",2022-12-22 10:26:23+00:00,2022-12-22 11:19:19+00:00,2022-12-22 13:19:18+02:00
99,e480bcd928e0741b94bdc068c3a1ba8736f43057,0.9999555349349976,1,depends on # 98,Fix/sqlparser error handling,Merge pull request # 99 from Project-C-SQL/fix/sqlparser-error-handling,['src/pg4n/sqlparser.py'],2022-12-15 18:25:33+00:00,2022-12-16 13:31:29+00:00,2022-12-16 15:31:29+02:00
98,baf12acc335af14d9708a980b5cb2d5b0183ddbe,0.999962329864502,1,depends on # 97,Fix/checker crashes,Merge pull request # 98 from Project-C-SQL/fix/checker-crashes,"['src/pg4n/inconsistent_expression_checker.py', 'src/pg4n/subquery_order_by_checker.py']",2022-12-15 18:24:37+00:00,2022-12-16 13:01:42+00:00,2022-12-16 15:01:42+02:00
97,3d6dec83450eb47b7c1c89380c7d32be851a2780,0.9999433755874634,1,closes # 91,Fix/qepparser crash,Merge pull request # 97 from Project-C-SQL/fix/qepparser-crash,"['src/pg4n/implied_expression_checker.py', 'src/pg4n/qepparser.py', 'src/pg4n/subquery_order_by_checker.py']",2022-12-15 17:43:53+00:00,2022-12-16 11:05:51+00:00,2022-12-16 13:05:50+02:00
95,535fdf800713ce7b74f1e330e9c02af0bb981db2,0.9995538592338562,1,"Closes # 87 , closes # 81 , closes # 79 . Refactors psql parser and wrapper for release , so this branch does have more than just error handling and syntax error detection .",Feat/error handling and syntax error detection,Merge pull request # 95 from Project-C-SQL/feat/error-handling-and-syntax-error-detection,"['src/pg4n/main.py', 'src/pg4n/psqlconninfo.py', 'src/pg4n/psqlparser.py', 'src/pg4n/psqlwrapper.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/test/test_psqlparser.py', 'src/pg4n/test/test_psqlwrapper.py']",2022-12-08 11:46:07+00:00,2022-12-12 12:47:03+00:00,2022-12-12 14:47:03+02:00
94,89f77867806bb11df2be061fb4e287ef3bedaf62,0.9999443292617798,1,closes # 8,Feat/inconsistent expression,Merge pull request # 94 from Project-C-SQL/feat/inconsistent-expression,"['scripts/gen_config_values.bash', 'src/pg4n/config_values.py', 'src/pg4n/inconsistent_expression_checker.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/test/test_inconsistent_expression_checker.py']",2022-12-07 13:24:23+00:00,2022-12-10 14:52:55+00:00,2022-12-10 16:52:54+02:00
93,ff25e18f8bfefbf98a4f27a1eccaf633c8313844,0.9999556541442872,1,closes # 92,Fix/sqlparser typeconv,Merge pull request # 93 from Project-C-SQL/fix/sqlparser-typeconv,"['src/pg4n/sqlparser.py', 'src/pg4n/test/test_sqlparser.py']",2022-12-01 20:32:22+00:00,2022-12-02 17:51:33+00:00,2022-12-02 19:51:33+02:00
84,0499f91bd01fde04e830476f7024c376a5bbedfb,0.9987736344337464,1,,Adds missing config values and a script generating those,Merge pull request # 84 from Project-C-SQL/fix/missing-checkers,"['scripts/gen_config_values.bash', 'src/pg4n/cmp_domain_checker.py', 'src/pg4n/config_values.py', 'src/pg4n/eq_wildcard_checker.py', 'src/pg4n/implied_expression_checker.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/strange_having_checker.py', 'src/pg4n/subquery_order_by_checker.py', 'src/pg4n/subquery_orderby_checker.py', 'src/pg4n/subquery_select_checker.py', 'src/pg4n/sum_distinct_checker.py', 'src/pg4n/test/test_config_parser.py', 'src/pg4n/test/test_subquery_order_by_checker.py', 'src/pg4n/test/test_subquery_orderby_checker.py']",2022-11-22 10:11:08+00:00,2022-11-25 11:51:14+00:00,2022-11-25 13:51:14+02:00
83,9d65f39bd91a53654c804242c1669e174b976f75,0.9998733997344972,1,,Fixes outdated comment,Merge pull request # 83 from Project-C-SQL/fix/outdated-comment,['src/pg4n/config_reader.py'],2022-11-22 09:46:12+00:00,2022-11-25 11:43:42+00:00,2022-11-25 13:43:42+02:00
90,7bfa9545716a7c5e4473c520217170db917b1841,0.999964475631714,1,,Fix/semantics and parsing newlines,Merge pull request # 90 from Project-C-SQL/fix/semantics-and-parsing-newlines,"['src/pg4n/psqlparser.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/test/test_psqlparser.py']",2022-11-22 11:38:49+00:00,2022-11-23 11:13:45+00:00,2022-11-23 13:13:44+02:00
80,cd7168bd9791c3c51875f85850371cec52a72e57,0.9998607635498048,1,"Closes # 49 and # 62 . Fixes psqlwrapper unit tests , and extends psqlwrapper and psqlparser unit tests . # 79 found during testing .",Fix/wrapper,Merge pull request # 80 from Project-C-SQL/fix/wrapper,"['src/pg4n/psqlparser.py', 'src/pg4n/psqlwrapper.py', 'src/pg4n/test/test_psqlparser.py', 'src/pg4n/test/test_psqlwrapper.py']",2022-11-19 17:12:38+00:00,2022-11-21 14:23:45+00:00,2022-11-21 16:23:44+02:00
