issue_id,commit_id,p_x,l_x,issue_desc,issue_comments,summary,files,created_at,closed_at,commit_time
43,911cf5797ef3e10d5351cc50034345c346483fc0,0.9999372959136964,1,"Solves issue # 42 Publishing warning message by Intelligent controller is implemented . Also , the user component is subscribed to the warning message topic . At the moment only reaction by the user when receiving a warning is a log output . The code changes are not properly tested and might contain bugs .",Warning message if requirements can not be fulfilled,Merge pull request # 43 from EVCommunities/42-warning-message-if-requirements- can not -be-fulfilled,"['ic_component/ICComponent.py', 'ic_component/energy_check.py', 'ic_component/user_data.py', 'local_image_build.sh', 'messages/requirements_warning_message.py', 'user_component/user_component.py']",2023-02-22 21:00:11+00:00,2023-02-24 05:13:33+00:00,2023-02-24 07:13:33+02:00
42,593de6f16ca25ff6bb3edf91449c23948ad3ca2a,0.9998397827148438,1,The intelligent controller should send a warning message to a topic that all users are listening if the controller can determine that it can not fulfill all the requirements by the users . - [ x ] Design the contents of the warning message - [ x ] Implement the warning message - [ x ] Implement the calculation for the warning message condition ( intelligent controller ) - [ x ] Implement warning message publishing - [ x ] Implement the receiving of the warning messages ( user component ) Definition of Done : - Intelligent controller publishes a warning message if requirements can not be fulfilled - Users can receive the possible warning message,Warning message if requirements can not be fulfilled,User component now listens to warning messages ( # 42 ),['user_component/user_component.py'],2023-02-22 14:24:36+00:00,2023-02-24 05:13:35+00:00,2023-02-22 22:25:16+02:00
42,b1f039356035842941a1b85be782d4697c5f113a,0.9957404136657716,1,The intelligent controller should send a warning message to a topic that all users are listening if the controller can determine that it can not fulfill all the requirements by the users . - [ x ] Design the contents of the warning message - [ x ] Implement the warning message - [ x ] Implement the calculation for the warning message condition ( intelligent controller ) - [ x ] Implement warning message publishing - [ x ] Implement the receiving of the warning messages ( user component ) Definition of Done : - Intelligent controller publishes a warning message if requirements can not be fulfilled - Users can receive the possible warning message,Warning message if requirements can not be fulfilled,Add functionality for sending warning messages ( # 42 ),"['ic_component/ICComponent.py', 'ic_component/energy_check.py', 'ic_component/user_data.py']",2023-02-22 14:24:36+00:00,2023-02-24 05:13:35+00:00,2023-02-22 18:40:31+02:00
42,f32853eace9147f0f1b603571dec832a1b81d796,0.999612271785736,1,The intelligent controller should send a warning message to a topic that all users are listening if the controller can determine that it can not fulfill all the requirements by the users . - [ x ] Design the contents of the warning message - [ x ] Implement the warning message - [ x ] Implement the calculation for the warning message condition ( intelligent controller ) - [ x ] Implement warning message publishing - [ x ] Implement the receiving of the warning messages ( user component ) Definition of Done : - Intelligent controller publishes a warning message if requirements can not be fulfilled - Users can receive the possible warning message,Warning message if requirements can not be fulfilled,Add function for sending warning message ( # 42 ),['ic_component/ICComponent.py'],2023-02-22 14:24:36+00:00,2023-02-24 05:13:35+00:00,2023-02-22 18:27:52+02:00
36,ff04f8708274cc22dd855791b25d36e6534d5fde,0.9998201727867126,1,,Fix unnecessary power requirement message generation,Merge pull request # 36 from amehraj/user-component,['ic_component/ICComponent.py'],2023-01-25 14:17:52+00:00,2023-01-25 14:17:57+00:00,2023-01-25 16:17:57+02:00
33,ed7304409111f36b674b5ad95da1bed175a3eae6,0.9997321963310242,1,Updated and unified the Dockerfile and manifest files in order to support using the GitHub container registry to store the Docker images for the components . - Added GitHub actions to build and push the Docker images to GitHub registry for all 3 components whenever the code in the main branch is updated,Image update,Merge pull request # 33 from EVCommunities/image-update,"['.github/workflows/ic_image.yml', '.github/workflows/station_image.yml', '.github/workflows/user_image.yml', 'component_manifest_ic.yml', 'component_manifest_station.yml', 'component_manifest_user.yml', 'ic_component.Dockerfile', 'station_component.Dockerfile', 'station_component_manifest.yml', 'stationcomponent.Dockerfile', 'user_component.Dockerfile']",2023-01-24 11:49:45+00:00,2023-01-24 12:32:10+00:00,2023-01-24 14:32:10+02:00
32,8ea541d12845b2b604eaa60fe7900a53e8963038,0.6824931502342224,1,,Development,Merge pull request # 32 from EVCommunities/development,['ic_component/ICComponent.py'],2023-01-19 12:25:23+00:00,2023-01-19 12:25:31+00:00,2023-01-19 14:25:30+02:00
30,79ed7ee86aaa73485088eeb7b9ec1942dc3ea954,0.6175661087036133,1,,Development,Merge pull request # 30 from EVCommunities/development,"['ic_component/ICComponent.py', 'messages/PowerRequirement_message.py', 'station_component/StationComponent.py']",2023-01-17 12:44:55+00:00,2023-01-17 12:45:02+00:00,2023-01-17 14:45:01+02:00
18,b837ae165d3b0c93d832167e997787a4c3994e9c,0.9134299159049988,1,,Add total maximum power to IC,Merge pull request # 18 from amehraj/user-component,"['component_manifest_ic.yml', 'ic_component/ICComponent.py']",2023-01-10 12:24:22+00:00,2023-01-10 12:24:30+00:00,2023-01-10 14:24:30+02:00
4,6c9e9110503563f23074970d3b525034116de51b,0.9999196529388428,1,,Add station id property to the power output message .,Merge pull request # 4 from chaliya96/dev,['station_component/PowerOutput_message.py'],2022-11-24 09:56:01+00:00,2022-11-24 09:56:43+00:00,2022-11-24 11:56:42+02:00
1,dcc9f807c78d499168103a6240bd73397869eb37,0.9998420476913452,1,,Change topics for user component,Merge pull request # 1 from amehraj/user-component,['user_component/user_component.py'],2022-11-21 13:12:01+00:00,2022-11-21 13:12:54+00:00,2022-11-21 15:12:54+02:00
