issue_id,commit_id,p_x,l_x,issue_desc,issue_comments,summary,files,created_at,closed_at,commit_time
103,dbbd4ef6012e41811e4d34b77b6e621abbb89329,0.0054775467142462,1,Closes # 52,Add poetry-githooks,Merge pull request # 103 from Project-C-SQL/feat/githooks,"['README.md', 'docs/conf.py', 'poetry.lock', 'pyproject.toml', 'src/pg4n/cmp_domain_checker.py', 'src/pg4n/eq_wildcard_checker.py', 'src/pg4n/implied_expression_checker.py', 'src/pg4n/main.py', 'src/pg4n/psqlconninfo.py', 'src/pg4n/psqlparser.py', 'src/pg4n/psqlwrapper.py', 'src/pg4n/qepparser.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/strange_having_checker.py', 'src/pg4n/subquery_order_by_checker.py', 'src/pg4n/subquery_select_checker.py', 'src/pg4n/sum_distinct_checker.py', 'src/pg4n/test/test_cmp_domain_checker.py', 'src/pg4n/test/test_config_parser.py', 'src/pg4n/test/test_implied_expression_checker.py', 'src/pg4n/test/test_psqlparser.py', 'src/pg4n/test/test_psqlwrapper.py', 'src/pg4n/test/test_qepparser.py', 'src/pg4n/test/test_subquery_order_by_checker.py', 'src/pg4n/test/test_subquery_select_checker.py']",2022-12-22 10:02:39+00:00,2022-12-22 10:07:50+00:00,2022-12-22 12:07:50+02:00
101,149f24e74104b324b62326453e7cbe12b53a5f5a,1.1416288543841802e-05,1,"Will not be merged as-is currently , please remove empty sections from your respective areas if no documentation will be provided .",Usage + architecture + maintenance documentation,Merge pull request # 101 from Project-C-SQL/feat/maintenance-plan,"['docs/architecture.jpg', 'docs/architecture.md', 'docs/index.rst', 'docs/interfaces.md', 'docs/maintenance-plan.md', 'docs/pg4n.md', 'docs/program-architecture.md']",2022-12-16 10:43:17+00:00,2022-12-16 16:54:09+00:00,2022-12-16 18:54:08+02:00
102,f3289740648ca885a1b843623ce26ede02099f61,0.5305582284927368,1,Makes disabling of warnings in configuration actually disable the warnings,Fix/config eval,Merge pull request # 102 from Project-C-SQL/fix/config-eval,"['src/pg4n/main.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/sum_distinct_checker.py']",2022-12-16 13:33:59+00:00,2022-12-16 16:16:25+00:00,2022-12-16 18:16:25+02:00
85,33120fdaf85b81b29fda0b164e51a4d43a477810,1.040824099618476e-05,1,Fixes # 54,Add constant deployment,Merge pull request # 85 from Project-C-SQL/feat/cd-publish,"['.github/workflows/ci-cd.yml', '.github/workflows/grade.yml', '.github/workflows/pytest.yml', '.github/workflows/sphinx.yml', 'README.md', 'pyproject.toml', 'scripts/cd-publish.sh']",2022-11-22 10:17:45+00:00,2022-11-22 15:15:01+00:00,2022-11-22 17:15:00+02:00
82,df74a04e21b67c5d76e8467383b4146ed643743a,0.0004888425464741,1,,"Added pyparsing to dependencies , updated version & authors .",Merge pull request # 82 from Project-C-SQL/fix/pyproject-pyparsing,"['poetry.lock', 'pyproject.toml']",2022-11-21 15:35:44+00:00,2022-11-21 21:29:09+00:00,2022-11-21 23:29:08+02:00
78,7a2404b05defc51c519424b9b8ecfc2de17e58a5,0.0003108658711425,1,Also adds documentation of the config in the github wiki closes # 68,Feat/config,Merge pull request # 78 from Project-C-SQL/feat/config,"['src/pg4n/config_parser.py', 'src/pg4n/config_reader.py', 'src/pg4n/config_values.py', 'src/pg4n/test/test_config_parser.py']",2022-11-19 16:48:59+00:00,2022-11-21 20:39:05+00:00,2022-11-21 22:39:05+02:00
49,6830527819fcd57d7a932bcff1557c4ff64d5440,1.5802470443304628e-05,1,"Wrapper has 2 significant bugs left : - parse multiline queries properly ( ` db= > SELECT db- > db- > * FROM orders ; ` ) - separate queries properly ( ` db= > SELECT * FROM orders ; db= > INSERT INTO queries VALUES ( 6,6,6 ) ; ` should not parse as ` SELECT * FROM orders ; db= > INSERT INTO queries VALUES ( 6,6,6 ) ; ` ) due to lazily sticking to SELECT as the delimiter .","Multiline queries , detect separate queries",Fixes # 49 . Polishing parser and wrapper .,"['src/pg4n/psqlparser.py', 'src/pg4n/psqlwrapper.py', 'src/pg4n/test/test_psqlparser.py', 'src/pg4n/test/test_psqlwrapper.py']",2022-11-04 15:31:55+00:00,2022-11-21 14:23:46+00:00,2022-11-19 17:44:08+02:00
60,8b9c3dad56fe0a5070bd3d546b468f4bba27275a,1.0198365998803638e-05,1,,Bug fixes .,Merge pull request # 60 from Project-C-SQL/fix/demoday,"['src/pg4n/psqlparser.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/sqlparser.py']",2022-11-08 08:51:54+00:00,2022-11-08 08:54:19+00:00,2022-11-08 10:54:19+02:00
45,384f6bc82083044b78ca8730d99ba7b0d48e61d1,5.96923018747475e-05,1,Current implementation uses hardcoded parameters for these . Pexpect could be used to get at least the username . It could be that we will have to analyse the command-line arguments or environmental variables for other parameters .,"Pass real PostgresSQL username , port , host , and password to psycopg",Get connection information via psql for psycopg . # 45,['src/pg4n/psqlconninfo.py'],2022-11-03 10:08:27+00:00,2022-11-07 07:42:45+00:00,2022-11-06 16:27:06+02:00
51,67a44d6dcf82358abcf699c347b79c06a6c74dbe,1.3036461496085394e-05,1,Closes # 42,Add black and pylint runs to CI/CD,Merge pull request # 51 from Project-C-SQL/feat/add-linter,"['.github/actions/install/action.yml', '.github/workflows/ci-flow.yml', '.github/workflows/pr_flow.yml', '.github/workflows/pytest.yml', '.github/workflows/sphinx.yml', 'README.md', 'docs/_static/github-mark.svg', 'docs/_templates/footer.html', 'docs/conf.py', 'docs/program-architecture.md', 'poetry.lock', 'pyproject.toml', 'scripts/ci-grade.sh']",2022-11-04 15:35:29+00:00,2022-11-06 12:04:38+00:00,2022-11-06 14:04:38+02:00
37,54913a5f42184078d70e9407b264ba0faf648309,0.0239424630999565,1,qepparser needs to use SET constraint_exclusion = 'on ' before doing its queries . This makes # 6 trivial search for One-Time Filter 's from the QEP .,constraint_exclusion option for qepparser,Fix # 37,"['src/pg4n/qepparser.py', 'src/pg4n/test/test_qepparser.py']",2022-10-25 08:51:21+00:00,2022-11-05 11:28:49+00:00,2022-11-02 23:42:42+02:00
27,6c63c9c09f6fcbf373797aa2b0b7adb7b9c4259a,1.0397188816568814e-05,1,Related to # 5,"Create FSM for interpreting control codes induced by e.g . up-/down-arrows , ctrl-R and backspace","Refined , but still fragile , implementation of # 27","['src/pg4n/psqlparser.py', 'src/pg4n/psqlwrapper.py', 'src/pg4n/vt100decode.py']",2022-10-07 08:29:54+00:00,2022-11-06 14:07:53+00:00,2022-10-21 19:44:17+03:00
27,9f73e1f72de3bcc8fdf9e46908933281fa54178d,1.0367475624661893e-05,1,Related to # 5,"Create FSM for interpreting control codes induced by e.g . up-/down-arrows , ctrl-R and backspace",Prototype implementation for # 27,"['src/pg4n/psqlparser.py', 'src/pg4n/psqlwrapper.py', 'src/pg4n/vt100decode.py']",2022-10-07 08:29:54+00:00,2022-11-06 14:07:53+00:00,2022-10-19 18:05:06+03:00
31,576ff1d3f49e6180a05f05e0e2ae13ba93d7ecb4,1.1030146197299471e-05,1,"Closes # 15 Adds Poetry for packaging and dependency management . Add GitHub Actions with caching , postgres , pytest , sphinx , and gh-pages . Fix using ` psycopg2 ` ( ` psycopg ` is newer ) . Fix import syntaxes . Move source files to ` src/ ` . Add notes for developers to README .",Incorporate GitHub Actions and GitHub Pages,Merge pull request # 31 from Project-C-SQL/feat/add-docs,"['.github/workflows/ci-flow.yml', '.gitignore', 'README.md', 'docs/architecture.md', 'docs/conf.py', 'docs/index.rst', 'docs/interfaces.md', 'docs/program-architecture.md', 'main.py', 'orderby.py', 'poetry.lock', 'psqlparser.py', 'psqlwrapper.py', 'pyproject.toml', 'qepparser.py', 'sqlparser.py', 'src/pg4n/__init__.py', 'src/pg4n/main.py', 'src/pg4n/orderby.py', 'src/pg4n/psqlparser.py', 'src/pg4n/psqlwrapper.py', 'src/pg4n/qepparser.py', 'src/pg4n/sqlparser.py', 'src/pg4n/test/__init__.py', 'src/pg4n/test/test_qepparser.py', 'src/pg4n/util.py', 'test_qepparser.py']",2022-10-12 22:33:45+00:00,2022-10-13 09:22:39+00:00,2022-10-13 12:22:38+03:00
5,03b8f57227ebc9ade474cca05e17349fa4eed649,1.0268780897604302e-05,1,"Doing : Ctrl-R SELE and selecting : SELECT * FROM orders WHERE order_total_eur = 0 AND order_total_eur = 1 ; leads the wrapper to send `` = > SELE '' as the statement , even if the whole statement can be found in the program output log . Requires work on the wrapper parser .",Supporting Ctrl-R requires a more extensive parser,"Final commit for this branch . Could n't resolve # 5 , a new branch will be in order for # 27 .","['main.py', 'psqlparser.py', 'psqlwrapper.py']",2022-09-23 11:16:03+00:00,2022-10-08 10:35:35+00:00,2022-10-07 12:37:09+03:00
4,deb3a2a40e7985cd361fcd18ccfebab53b113d71,1.073506700777216e-05,1,Implements # 3,A basic wrapper module and an entry point to the program,Merge pull request # 4 from Project-C-SQL/feat/pexpect-wrapper,"['main.py', 'wrapper.py']",2022-09-23 10:47:55+00:00,2022-09-25 06:01:08+00:00,2022-09-25 06:01:08+00:00
