issue_id,commit_id,p_x,l_x,issue_desc,issue_comments,summary,files,created_at,closed_at,commit_time
99,baf12acc335af14d9708a980b5cb2d5b0183ddbe,0.9929150342941284,0,depends on # 98,Fix/sqlparser error handling,Merge pull request # 98 from Project-C-SQL/fix/checker-crashes,"['src/pg4n/inconsistent_expression_checker.py', 'src/pg4n/subquery_order_by_checker.py']",2022-12-15 18:25:33+00:00,2022-12-16 13:31:29+00:00,2022-12-16 15:01:42+02:00
99,3d6dec83450eb47b7c1c89380c7d32be851a2780,0.9983614087104796,0,depends on # 98,Fix/sqlparser error handling,Merge pull request # 97 from Project-C-SQL/fix/qepparser-crash,"['src/pg4n/implied_expression_checker.py', 'src/pg4n/qepparser.py', 'src/pg4n/subquery_order_by_checker.py']",2022-12-15 18:25:33+00:00,2022-12-16 13:31:29+00:00,2022-12-16 13:05:50+02:00
99,535fdf800713ce7b74f1e330e9c02af0bb981db2,0.9861698150634766,0,depends on # 98,Fix/sqlparser error handling,Merge pull request # 95 from Project-C-SQL/feat/error-handling-and-syntax-error-detection,"['src/pg4n/main.py', 'src/pg4n/psqlconninfo.py', 'src/pg4n/psqlparser.py', 'src/pg4n/psqlwrapper.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/test/test_psqlparser.py', 'src/pg4n/test/test_psqlwrapper.py']",2022-12-15 18:25:33+00:00,2022-12-16 13:31:29+00:00,2022-12-12 14:47:03+02:00
65,de27eb5c5d71e31de1e07099cbea189952749079,0.9985721111297609,0,See commit message,Fix/subquery select,Merge pull request # 58 from Project-C-SQL/feat/subquery-select,"['src/pg4n/subquery_select_checker.py', 'src/pg4n/test/test_subquery_select_checker.py']",2022-11-08 15:55:35+00:00,2022-11-15 13:03:27+00:00,2022-11-08 10:07:16+02:00
57,81031d3bf605c7a135e21c31f0468edd19818deb,0.9695256352424622,0,Closes # 9,Feat/subquery orderby,Merge pull request # 25 from Project-C-SQL/feat/sem-orderby,"['orderby.py', 'sqlparser.py']",2022-11-07 18:59:33+00:00,2022-11-08 08:05:36+00:00,2022-10-05 13:46:50+03:00
48,6c63c9c09f6fcbf373797aa2b0b7adb7b9c4259a,0.9219792485237122,0,"` poetry.lock ` , ` pyproject.toml ` : Added ` pyte ` as dependency . ` main.py ` : separated psql process start into ` PsqlWrapper.start ( ) ` for easier setup and testing . ` psqlwrapper.py ` and ` psqlwrapper.py ` : both have been largely reworked into a more sustainable and better working implementation utilising ` pyte ` as the source for screenscraping SQL queries . Closes # 27 .",Feat/vt100decode,"Refined , but still fragile , implementation of # 27","['src/pg4n/psqlparser.py', 'src/pg4n/psqlwrapper.py', 'src/pg4n/vt100decode.py']",2022-11-04 15:09:54+00:00,2022-11-06 14:07:52+00:00,2022-10-21 19:44:17+03:00
48,9f73e1f72de3bcc8fdf9e46908933281fa54178d,0.9997536540031432,0,"` poetry.lock ` , ` pyproject.toml ` : Added ` pyte ` as dependency . ` main.py ` : separated psql process start into ` PsqlWrapper.start ( ) ` for easier setup and testing . ` psqlwrapper.py ` and ` psqlwrapper.py ` : both have been largely reworked into a more sustainable and better working implementation utilising ` pyte ` as the source for screenscraping SQL queries . Closes # 27 .",Feat/vt100decode,Prototype implementation for # 27,"['src/pg4n/psqlparser.py', 'src/pg4n/psqlwrapper.py', 'src/pg4n/vt100decode.py']",2022-11-04 15:09:54+00:00,2022-11-06 14:07:52+00:00,2022-10-19 18:05:06+03:00
44,8b9c3dad56fe0a5070bd3d546b468f4bba27275a,0.9735358357429504,0,- ` constraint_exclusion=on ` - ` find ( ... ) ` et al . Fixes # 37,Improve QEPs,Merge pull request # 60 from Project-C-SQL/fix/demoday,"['src/pg4n/psqlparser.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/sqlparser.py']",2022-11-02 23:23:18+00:00,2022-11-05 11:28:48+00:00,2022-11-08 10:54:19+02:00
28,9f73e1f72de3bcc8fdf9e46908933281fa54178d,0.9992722868919371,0,"Completes # 14 . Changes were made with # 5 in mind , but it could not be resolved with planned approach , so it has to be rethought according to # 27 . This current implementation only sends proper SQL statement to the hook function if it is written perfectly straight-out , without using backspace , tabs , arrows or similar .",Feat/wrapper pyparsing,Prototype implementation for # 27,"['src/pg4n/psqlparser.py', 'src/pg4n/psqlwrapper.py', 'src/pg4n/vt100decode.py']",2022-10-07 09:39:23+00:00,2022-10-08 10:35:34+00:00,2022-10-19 18:05:06+03:00
28,03b8f57227ebc9ade474cca05e17349fa4eed649,0.999616265296936,0,"Completes # 14 . Changes were made with # 5 in mind , but it could not be resolved with planned approach , so it has to be rethought according to # 27 . This current implementation only sends proper SQL statement to the hook function if it is written perfectly straight-out , without using backspace , tabs , arrows or similar .",Feat/wrapper pyparsing,"Final commit for this branch . Could n't resolve # 5 , a new branch will be in order for # 27 .","['main.py', 'psqlparser.py', 'psqlwrapper.py']",2022-10-07 09:39:23+00:00,2022-10-08 10:35:34+00:00,2022-10-07 12:37:09+03:00
