issue_id,commit_id,p_x,l_x,issue_desc,issue_comments,summary,files,created_at,closed_at,commit_time
101,149f24e74104b324b62326453e7cbe12b53a5f5a,3.008312319252582e-07,1,"Will not be merged as-is currently , please remove empty sections from your respective areas if no documentation will be provided .",Usage + architecture + maintenance documentation,Merge pull request # 101 from Project-C-SQL/feat/maintenance-plan,"['docs/architecture.jpg', 'docs/architecture.md', 'docs/index.rst', 'docs/interfaces.md', 'docs/maintenance-plan.md', 'docs/pg4n.md', 'docs/program-architecture.md']",2022-12-16 10:43:17+00:00,2022-12-16 16:54:09+00:00,2022-12-16 18:54:08+02:00
102,f3289740648ca885a1b843623ce26ede02099f61,9.995272165497229e-08,1,Makes disabling of warnings in configuration actually disable the warnings,Fix/config eval,Merge pull request # 102 from Project-C-SQL/fix/config-eval,"['src/pg4n/main.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/sum_distinct_checker.py']",2022-12-16 13:33:59+00:00,2022-12-16 16:16:25+00:00,2022-12-16 18:16:25+02:00
84,0499f91bd01fde04e830476f7024c376a5bbedfb,1.1655424181356013e-08,1,,Adds missing config values and a script generating those,Merge pull request # 84 from Project-C-SQL/fix/missing-checkers,"['scripts/gen_config_values.bash', 'src/pg4n/cmp_domain_checker.py', 'src/pg4n/config_values.py', 'src/pg4n/eq_wildcard_checker.py', 'src/pg4n/implied_expression_checker.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/strange_having_checker.py', 'src/pg4n/subquery_order_by_checker.py', 'src/pg4n/subquery_orderby_checker.py', 'src/pg4n/subquery_select_checker.py', 'src/pg4n/sum_distinct_checker.py', 'src/pg4n/test/test_config_parser.py', 'src/pg4n/test/test_subquery_order_by_checker.py', 'src/pg4n/test/test_subquery_orderby_checker.py']",2022-11-22 10:11:08+00:00,2022-11-25 11:51:14+00:00,2022-11-25 13:51:14+02:00
85,33120fdaf85b81b29fda0b164e51a4d43a477810,1.1743986760848203e-07,1,Fixes # 54,Add constant deployment,Merge pull request # 85 from Project-C-SQL/feat/cd-publish,"['.github/workflows/ci-cd.yml', '.github/workflows/grade.yml', '.github/workflows/pytest.yml', '.github/workflows/sphinx.yml', 'README.md', 'pyproject.toml', 'scripts/cd-publish.sh']",2022-11-22 10:17:45+00:00,2022-11-22 15:15:01+00:00,2022-11-22 17:15:00+02:00
82,df74a04e21b67c5d76e8467383b4146ed643743a,0.0013042569626122,1,,"Added pyparsing to dependencies , updated version & authors .",Merge pull request # 82 from Project-C-SQL/fix/pyproject-pyparsing,"['poetry.lock', 'pyproject.toml']",2022-11-21 15:35:44+00:00,2022-11-21 21:29:09+00:00,2022-11-21 23:29:08+02:00
49,6830527819fcd57d7a932bcff1557c4ff64d5440,3.6419578464119695e-06,1,"Wrapper has 2 significant bugs left : - parse multiline queries properly ( ` db= > SELECT db- > db- > * FROM orders ; ` ) - separate queries properly ( ` db= > SELECT * FROM orders ; db= > INSERT INTO queries VALUES ( 6,6,6 ) ; ` should not parse as ` SELECT * FROM orders ; db= > INSERT INTO queries VALUES ( 6,6,6 ) ; ` ) due to lazily sticking to SELECT as the delimiter .","Multiline queries , detect separate queries",Fixes # 49 . Polishing parser and wrapper .,"['src/pg4n/psqlparser.py', 'src/pg4n/psqlwrapper.py', 'src/pg4n/test/test_psqlparser.py', 'src/pg4n/test/test_psqlwrapper.py']",2022-11-04 15:31:55+00:00,2022-11-21 14:23:46+00:00,2022-11-19 17:44:08+02:00
60,8b9c3dad56fe0a5070bd3d546b468f4bba27275a,0.0037020924501121,1,,Bug fixes .,Merge pull request # 60 from Project-C-SQL/fix/demoday,"['src/pg4n/psqlparser.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/sqlparser.py']",2022-11-08 08:51:54+00:00,2022-11-08 08:54:19+00:00,2022-11-08 10:54:19+02:00
53,aebf426ab3350d922e78442db19398914f4610aa,0.0065218131057918,1,A quick & dumb implementation that serves # 34 's aims but does not really implement it .,Feat/semantic router,Merge pull request # 53 from Project-C-SQL/feat/semantic-router,"['src/pg4n/main.py', 'src/pg4n/psqlconninfo.py', 'src/pg4n/psqlparser.py', 'src/pg4n/psqlwrapper.py', 'src/pg4n/semanticrouter.py', 'src/pg4n/test/test_psqlparser.py', 'src/pg4n/test/test_psqlwrapper.py']",2022-11-06 15:11:32+00:00,2022-11-07 18:09:03+00:00,2022-11-07 20:09:02+02:00
45,384f6bc82083044b78ca8730d99ba7b0d48e61d1,0.0003013004024978,1,Current implementation uses hardcoded parameters for these . Pexpect could be used to get at least the username . It could be that we will have to analyse the command-line arguments or environmental variables for other parameters .,"Pass real PostgresSQL username , port , host , and password to psycopg",Get connection information via psql for psycopg . # 45,['src/pg4n/psqlconninfo.py'],2022-11-03 10:08:27+00:00,2022-11-07 07:42:45+00:00,2022-11-06 16:27:06+02:00
51,67a44d6dcf82358abcf699c347b79c06a6c74dbe,2.54540054811514e-07,1,Closes # 42,Add black and pylint runs to CI/CD,Merge pull request # 51 from Project-C-SQL/feat/add-linter,"['.github/actions/install/action.yml', '.github/workflows/ci-flow.yml', '.github/workflows/pr_flow.yml', '.github/workflows/pytest.yml', '.github/workflows/sphinx.yml', 'README.md', 'docs/_static/github-mark.svg', 'docs/_templates/footer.html', 'docs/conf.py', 'docs/program-architecture.md', 'poetry.lock', 'pyproject.toml', 'scripts/ci-grade.sh']",2022-11-04 15:35:29+00:00,2022-11-06 12:04:38+00:00,2022-11-06 14:04:38+02:00
